BlockSize_m,VoxelSize_m,LayerType,Clear,IndexX,IndexY,IndexZ,CenterX,CenterY,CenterZ,ColorR,ColorG,ColorB,ColorA
0.2,0.025,2,0,20,11,3,4.0125,2.3625,0.6875,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,20,11,3,4.0125,2.3875,0.6875,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,20,11,3,4.0375,2.3875,0.6875,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3875,0.0125,0.584314,0.54902,0.552941,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3875,0.0375,0.588235,0.552941,0.564706,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3875,0.0625,0.584314,0.545098,0.556863,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3875,0.0875,0.584314,0.54902,0.556863,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3625,0.0125,0.584314,0.545098,0.556863,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3625,0.0375,0.580392,0.541176,0.54902,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3625,0.0625,0.572549,0.537255,0.54902,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3625,0.0875,0.576471,0.537255,0.54902,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3375,0.0125,0.584314,0.537255,0.54902,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3375,0.0375,0.580392,0.533333,0.545098,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3375,0.0625,0.580392,0.533333,0.545098,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3375,0.0875,0.580392,0.537255,0.552941,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3125,0.0125,0.592157,0.545098,0.556863,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3125,0.0375,0.592157,0.545098,0.556863,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3125,0.0625,0.584314,0.541176,0.556863,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.3125,0.0875,0.596078,0.54902,0.564706,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2875,0.0125,0.592157,0.54902,0.560784,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2875,0.0375,0.588235,0.545098,0.556863,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2875,0.0625,0.568627,0.529412,0.545098,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2875,0.0875,0.592157,0.545098,0.560784,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2625,0.0125,0.580392,0.537255,0.545098,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2625,0.0375,0.470588,0.447059,0.443137,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2625,0.0625,0.309804,0.34902,0.333333,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2625,0.0875,0.576471,0.545098,0.552941,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2375,0.0125,0.552941,0.529412,0.505882,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2375,0.0375,0.380392,0.423529,0.352941,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2375,0.0625,0.156863,0.309804,0.219608,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2125,0.0125,0.435294,0.47451,0.380392,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2125,0.0375,0.282353,0.407843,0.247059,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2125,0.0625,0.356863,0.501961,0.34902,1
0.2,0.025,2,0,7,-2,0,1.4125,-0.2125,0.0875,0.505882,0.521569,0.466667,1
0.2,0.025,2,0,7,-2,0,1.4375,-0.3875,0.0125,0.584314,0.545098,0.552941,1
0.2,0.025,2,0,7,-2,0,1.4375,-0.3875,0.0375,0.592157,0.556863,0.568627,1
0.2,0.025,2,0,7,-2,0,1.4375,-0.3875,0.0625,0.580392,0.541176,0.552941,1
0.2,0.025,2,0,7,-2,0,1.4375,-0.3875,0.0875,0.580392,0.541176,0.552941,1
0.2,0.025,2,0,7,-2,0,1.4375,-0.3875,0.1125,0.580392,0.541176,0.552941,1
0.2,0.025,2,0,7,-2,0,1.4375,-0.3875,0.1375,0.588235,0.556863,0.564706,1
0.2,0.025,2,0,7,-2,0,1.4375,-0.3625,0.0125,0.584314,0.537255,0.54902,1
0.2,0.025,2,0,7,-2,0,1.4375,-0.3625,0.0375,0.580392,0.537255,0.545098,1
0.2,0.025,2,0,7,-2,0,1.4375,-0.3625,0.0625,0.576471,0.533333,0.545098,1
0.2,0.025,2,0,7,-2,0,1.4375,-0.3625,0.0875,0.576471,0.537255,0.54902,1
0.2,0.025,2,0,7,-2,0,1.4375,-0.3625,0.1125,0.584314,0.545098,0.556863,1
0.2,0.025,2,0,7,-2,0,1.4375,-0.3625,0.1375,0.588235,0.54902,0.560784,1
0.2,0.025,2,0,7,-2,0,1.4375,-0.3625,0.1875,0.568627,0.541176,0.54902,1
