BlockSize_m,VoxelSize_m,LayerType,Clear,IndexX,IndexY,IndexZ,CenterX,CenterY,CenterZ,ColorR,ColorG,ColorB,ColorA
0.2,0.025,2,0,20,10,4,4.0375,2.1375,0.8625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,-11,-6,4.5375,-2.0625,-1.0625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,-11,-6,4.5375,-2.0375,-1.0625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,-11,-6,4.5375,-2.0125,-1.0625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,-11,-6,4.5625,-2.0375,-1.0875,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,-11,-6,4.5875,-2.0875,-1.0625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,-11,-6,4.5875,-2.0625,-1.0875,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,-11,-6,4.5875,-2.0375,-1.0875,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,20,-10,-6,4.0125,-1.8875,-1.1125,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,20,-10,-6,4.0125,-1.8625,-1.1875,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,20,-10,-6,4.0125,-1.8625,-1.1375,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,20,-10,-6,4.0375,-1.8875,-1.1625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,20,-10,-6,4.0375,-1.8875,-1.1375,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,20,-10,-6,4.0375,-1.8875,-1.1125,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,20,-10,-6,4.0375,-1.8625,-1.1125,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,20,-10,-6,4.0375,-1.8375,-1.0125,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,11,-1,4.5375,2.2125,-0.0625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,11,-1,4.5375,2.2375,-0.0125,0.321569,0.345098,0.286275,1
0.2,0.025,2,0,22,11,-1,4.5375,2.2625,-0.0125,0.290196,0.313726,0.270588,1
0.2,0.025,2,0,22,11,-1,4.5625,2.2125,-0.0625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,11,-1,4.5625,2.2375,-0.0625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,11,-1,4.5625,2.2625,-0.0125,0.313726,0.345098,0.286275,1
0.2,0.025,2,0,22,11,-1,4.5625,2.2875,-0.0375,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,11,-1,4.5625,2.2875,-0.0125,0.376471,0.376471,0.301961,1
0.2,0.025,2,0,22,11,-1,4.5875,2.2125,-0.1875,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,11,-1,4.5875,2.2125,-0.0625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,11,-1,4.5875,2.2375,-0.0625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,11,-1,4.5875,2.2625,-0.0625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,11,-1,4.5875,2.2625,-0.0125,0.321569,0.345098,0.286275,1
0.2,0.025,2,0,22,11,-1,4.5875,2.2875,-0.0625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,22,11,-1,4.5875,2.2875,-0.0125,0.290196,0.317647,0.270588,1
0.2,0.025,2,0,23,-12,-6,4.6125,-2.3875,-1.0125,0.603922,0.607843,0.541176,1
0.2,0.025,2,0,23,-12,-6,4.6125,-2.3625,-1.0375,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,23,-12,-6,4.6125,-2.3625,-1.0125,0.54902,0.580392,0.537255,1
0.2,0.025,2,0,23,-12,-6,4.6125,-2.3375,-1.1875,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,23,-12,-6,4.6125,-2.3375,-1.1625,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,23,-12,-6,4.6125,-2.3375,-1.1375,0.498039,0.498039,0.498039,1
0.2,0.025,2,0,23,-12,-6,4.6125,-2.3375,-1.0375,0.513726,0.533333,0.490196,1
0.2,0.025,2,0,23,-12,-6,4.6125,-2.3375,-1.0125,0.568627,0.592157,0.552941,1
