BlockSize_m,VoxelSize_m,LayerType,Clear,IndexX,IndexY,IndexZ,CenterX,CenterY,CenterZ,ColorR,ColorG,ColorB,ColorA
0.4,0.05,2,0,3,0,-2,1.425,0.325,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.325,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.375,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.425,0.375,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.025,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.025,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.075,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.075,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.125,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.125,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.175,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.175,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.225,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.225,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.275,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.275,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.325,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.325,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.375,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.475,0.375,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.175,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.225,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.225,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.275,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.275,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.325,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.325,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.375,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.525,0.375,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,0,-2,1.575,0.375,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.475,-0.875,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.475,-0.875,0.075,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.475,-0.825,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.475,-0.825,0.075,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.925,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.925,0.075,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.925,0.125,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.925,0.175,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.925,0.225,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.875,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.875,0.075,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.875,0.125,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.875,0.175,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.875,0.225,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.825,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.825,0.075,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.825,0.125,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.825,0.175,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.825,0.225,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.525,-0.825,0.275,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.925,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.925,0.075,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.925,0.125,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.925,0.175,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.925,0.225,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.925,0.275,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.925,0.325,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.875,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.875,0.075,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.875,0.125,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.875,0.175,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.875,0.225,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.875,0.275,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.875,0.325,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.825,0.025,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.825,0.075,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.825,0.125,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.825,0.175,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.825,0.225,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.825,0.275,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,-3,0,1.575,-0.825,0.325,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,7,-3,-2,2.825,-1.125,-0.675,0.552941,0.607843,0.658824,1
0.4,0.05,2,0,8,-1,-2,3.275,-0.275,-0.525,0.745098,0.635294,0.564706,1
0.4,0.05,2,0,8,-1,-2,3.325,-0.275,-0.475,0.564706,0.466667,0.411765,1
0.4,0.05,2,0,8,-1,-2,3.525,-0.225,-0.525,0.454902,0.388235,0.32549,1
0.4,0.05,2,0,8,-1,-2,3.575,-0.275,-0.525,0.52549,0.407843,0.337255,1
0.4,0.05,2,0,8,-1,-2,3.575,-0.225,-0.525,0.556863,0.482353,0.419608,1
0.4,0.05,2,0,9,-1,-2,3.625,-0.275,-0.525,0.462745,0.364706,0.317647,1
0.4,0.05,2,0,9,-1,-2,3.625,-0.225,-0.525,0.611765,0.541176,0.470588,1
0.4,0.05,2,0,9,-1,-2,3.675,-0.275,-0.575,0.65098,0.572549,0.513726,1
0.4,0.05,2,0,9,-1,-2,3.675,-0.275,-0.525,0.545098,0.462745,0.407843,1
0.4,0.05,2,0,9,-1,-2,3.675,-0.225,-0.575,0.603922,0.556863,0.513726,1
0.4,0.05,2,0,9,-1,-2,3.675,-0.225,-0.525,0.666667,0.592157,0.52549,1
0.4,0.05,2,0,10,0,-2,4.075,0.025,-0.775,0.619608,0.517647,0.427451,1
0.4,0.05,2,0,10,0,-2,4.125,0.025,-0.775,0.619608,0.513726,0.423529,1
0.4,0.05,2,0,10,0,-2,4.125,0.125,-0.775,0.658824,0.545098,0.45098,1
0.4,0.05,2,0,10,0,-2,4.125,0.325,-0.775,0.572549,0.447059,0.364706,1
0.4,0.05,2,0,10,0,-2,4.125,0.375,-0.775,0.556863,0.458824,0.372549,1
0.4,0.05,2,0,3,1,-2,1.275,0.425,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.325,0.425,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.325,0.475,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.325,0.525,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.325,0.575,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.325,0.625,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.325,0.675,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.325,0.725,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.325,0.775,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.375,0.425,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.375,0.475,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.375,0.525,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.375,0.575,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.375,0.625,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.375,0.675,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.375,0.725,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.375,0.775,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.425,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.425,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.475,-0.475,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.475,-0.425,0.498039,0.498039,0.498039,1
0.4,0.05,2,0,3,1,-2,1.425,0.525,-0.475,0.498039,0.498039,0.498039,1
